as_of,B12997,B01157,B09833,B06061,B11293,B05947,B13835,B14040,B04313,B11222,B08385,B11999,B02396,B04312,B07347,B13177,B04841,B13086
2/16/2000,13.6387,11.3366,22.7318,10.4175,24.6817,10.9954,55.7858,40.4033,46.8211,35.189,26.4104,12.7342,21.3911,52.1093,11.1234,9.92696,1109.89,75.0026
2/17/2000,13.7054,11.5233,22.7176,10.3865,24.9073,11.0559,55.7858,40.7628,47.6598,35.6929,26.8458,12.8144,21.5609,53.2981,11.3297,9.95786,1118.01,76.9099
2/18/2000,13.383,11.2607,22.1909,10.1081,24.2444,10.9046,55.7858,39.5603,47.0916,34.7061,26.3523,12.5539,20.7687,52.7037,11.0758,9.7622,1085.51,75.1435
2/19/2000,13.383,11.2607,22.1909,10.1081,24.2444,10.9046,55.7858,39.5603,47.0916,34.7061,26.3523,12.5539,20.7687,52.7037,11.0758,9.7622,1085.51,75.1435
2/20/2000,13.383,11.2607,22.1909,10.1081,24.2444,10.9046,55.7858,39.5603,47.0916,34.7061,26.3523,12.5539,20.7687,52.7037,11.0758,9.7622,1085.51,75.1435
2/21/2000,13.383,11.2607,22.1909,10.1081,24.2444,10.9046,55.7858,39.5603,47.0916,34.7061,26.3523,12.5539,20.7687,52.7037,11.0758,9.7622,1085.51,75.1435
2/22/2000,13.3275,11.1965,22.2621,10.1493,23.906,10.9147,55.7858,39.9942,46.4964,34.6221,26.1563,12.5238,21.1648,52.0102,10.9489,9.73131,1083.89,73.518
2/23/2000,13.3052,11.4532,22.0059,10.0255,24.5547,10.9752,55.7858,40.0686,47.7951,36.1128,26.7369,12.7142,21.1365,53.2651,11.1869,9.72101,1101.76,76.704
2/24/2000,13.183,11.5058,21.7212,9.88114,24.8368,10.9348,55.7858,40.6761,48.7556,35.8818,26.9982,12.8144,20.9526,54.5199,11.3932,9.65922,1093.64,79.1098
2/25/2000,13.1719,11.5349,21.4792,9.75737,24.8509,10.9651,55.7858,40.4777,48.0792,37.0366,27.0127,12.9045,20.896,54.1236,11.5836,9.65922,1098.51,79.3916
2/26/2000,13.1719,11.5349,21.4792,9.75737,24.8509,10.9651,55.7858,40.4777,48.0792,37.0366,27.0127,12.9045,20.896,54.1236,11.5836,9.65922,1098.51,79.3916
2/27/2000,13.1719,11.5349,21.4792,9.75737,24.8509,10.9651,55.7858,40.4777,48.0792,37.0366,27.0127,12.9045,20.896,54.1236,11.5836,9.65922,1098.51,79.3916
2/28/2000,13.3052,11.5233,21.7212,9.94303,25.0766,11.0357,55.7858,40.5645,48.3768,37.2676,27.1071,13.0047,20.7545,54.2888,11.6629,9.65922,1101.76,78.8281
2/29/2000,13.7165,11.815,21.7212,10.0462,26.2049,11.2476,67.95,41.4695,50.0543,38.1284,27.9417,13.4856,21.4619,56.072,12.2024,9.7622,1126.14,81.0605
3/1/2000,14.0166,12.06,21.9774,10.1906,26.8537,11.4493,69.6699,42.4613,51.1907,38.8422,28.6239,13.7161,21.6741,57.2277,12.6943,9.84458,1147.26,82.8269
3/2/2000,14.0833,11.9959,22.077,10.2422,26.769,11.5603,69.6699,42.1637,50.8254,38.6533,28.5151,13.6059,21.7165,56.6333,12.4246,9.85488,1152.14,82.2634
3/3/2000,14.2834,12.3634,22.3475,10.3247,27.4037,11.762,69.6699,43.3043,52.6382,40.102,29.3424,13.9465,22.2259,58.5156,12.8371,9.95786,1176.51,85.3519
3/4/2000,14.2834,12.3634,22.3475,10.3247,27.4037,11.762,69.6699,43.3043,52.6382,40.102,29.3424,13.9465,22.2259,58.5156,12.8371,9.95786,1176.51,85.3519
3/5/2000,14.2834,12.3634,22.3475,10.3247,27.4037,11.762,69.6699,43.3043,52.6382,40.102,29.3424,13.9465,22.2259,58.5156,12.8371,9.95786,1176.51,85.3519
3/6/2000,14.2389,12.4626,22.0913,10.2215,27.4742,11.7519,69.6699,42.7092,52.6653,39.787,29.4585,14.0267,22.1693,58.5486,12.7895,9.80339,1161.89,85.1027
3/7/2000,14.0944,12.4101,21.8351,10.1184,27.6858,11.6914,69.6699,42.6596,52.1512,38.7163,29.132,13.8463,21.858,57.9212,12.6785,9.7519,1139.14,83.0437
3/8/2000,14.0944,12.4918,21.7924,10.0771,27.6435,11.6712,69.6699,42.3745,52.0024,38.8212,29.1973,13.8363,21.9712,57.7231,12.5833,9.72101,1142.39,84.6909
3/9/2000,14.2612,12.7427,22.0628,10.2318,28.2499,11.9537,69.6699,43.4655,53.2605,40.207,29.8577,14.0066,22.2824,59.11,12.8054,9.90637,1144.01,86.3598
