B12997,B01157,B09833,B06061,B11293,B05947,B13835,B14040,B04313,B11222,B08385,B11999,B02396,B04312,B07347,B13177,B04841,B13086,B00241,B07223,B03193,B15709,B04687,B05548,B05011,B13104,B06753,B08336,B10749,B10612,B14867,B10363,B14965,B09417,B07245,B04762,B12844,B09550,B15851,B14908,B13135,B06850,B00774,B00450,B03777,B05350,B02390,B15191,B06096,B11505
-0.018101854251991626,-0.04711298595522952,0.007355419250471865,-0.05278081145242082,-0.1083661618745523,0.017466304866412135,-0.05800009260259611,-0.0464259061296113,-0.03097548284411253,-0.11688185080701666,-0.039075104540515625,-0.030181892718420093,-0.1115899230024618,-0.028616974776952138,-0.007919408666282506,-0.07004545064745739,-0.016932628042172517,-0.06442797858158351,-0.1259151301866799,-0.11401925811012095,-0.1100458305822038,-0.06062755860231279,-0.06886485506947926,-0.1077010213671756,-0.06750891012217608,-0.0770982338344768,-0.1257957207635023,-0.10881371846507365,-0.05498122248659049,-0.05737212965265677,0.008422075423712136,0.006111335695431961,-0.00022156599942603012,0.00543782051790808,-0.009737754158964882,0.012134169449350408,0.02141153394766568,0.008643135383908243,0.018404980776229086,-0.0028945083662396437,0.010807164870532956,0.013977154942259103,-0.0005617220853879736,0.01202982039986437,0.0186874890331639,-0.019172045963110042,0.00238724471611974,-0.006128296590842652,0.03087435709037467,-0.0009045180883153601
-0.06257244168176312,-0.10001691421797186,-0.04687682672233822,-0.08816571387517566,-0.16373420476553976,-0.03365949987796481,-0.11942826486817892,-0.0931072790416045,-0.08816584909116812,-0.18141696963119724,-0.09403161471413793,-0.08060981634581675,-0.14495378342537066,-0.08506239133313673,-0.05357004965536694,-0.11293950616228061,-0.08088139727862592,-0.11467235840337979,-0.15776093438088545,-0.14749752664836918,-0.15133003297120132,-0.0947410324840451,-0.10356106332762564,-0.13839310849614314,-0.09110019719462735,-0.10897394585283827,-0.16822416238903765,-0.13946095232418373,-0.08589232303090723,-0.09080866327491488,0.0067680126475603225,0.005201508834623793,-0.005549508752898482,0.00490647912103906,-0.013271118090830519,0.009179505553564869,0.021801969192544027,0.007800899116345275,0.01862917538503078,-0.004767416823099717,0.00820220811962097,0.0119617852439837,-0.0005862898219039697,0.012382101516493634,0.01896035562006706,-0.026493551087936915,-0.0007852944348576496,-0.005829725015632069,0.019288983507570544,-0.005493175580598706
-0.0718781555031976,-0.10523370667737579,-0.05528219733499675,-0.09744052101250894,-0.16998315956313917,-0.04241931030473888,-0.12035226532066146,-0.10110664969150913,-0.0899238606761011,-0.18306142749078264,-0.09787820425003828,-0.08751552319205218,-0.15378958318213706,-0.08713309326702658,-0.05870889764561745,-0.11771943870886185,-0.08376460398232258,-0.11766823534514549,-0.15645495069293008,-0.1454505691098559,-0.14669943617175074,-0.09159964911287802,-0.10466319045630144,-0.13533611313891195,-0.09427606345486661,-0.10050014812749414,-0.16331167421600262,-0.1363497927023363,-0.0849654425163758,-0.09120550050237393,0.0030102426015753505,0.0028221197430135974,-0.01304633092276847,0.0036206925804645085,-0.014595708877703704,0.0036987867127653336,0.019102294898437993,0.005118836333314999,0.01586543772983384,-0.008838179096895606,0.00572970056649576,0.010595991973522982,-0.00472550902085963,0.010806888120049766,0.01624357769511711,-0.028665715680101095,-0.003296155377752837,-0.0105037363457256,0.02450247584837436,-0.00761056102919903
-0.030207704903904124,-0.049370516761821116,-0.005643355139122597,-0.06416973715271011,-0.09609827997065096,0.012184443130533813,-0.054181658208556506,-0.0511096098972565,-0.01657139557711175,-0.08948940621888346,-0.021235488802647765,-0.037331481922841726,-0.11430681390138982,-0.014442070955096992,-0.004024288727395229,-0.07275904729770646,-0.0010766377789331498,-0.06937249928551013,-0.10252447783916319,-0.09616023851426181,-0.10018191216525185,-0.055456420290653834,-0.07034519870849443,-0.09348100503022573,-0.06282659452247717,-0.0705658881242197,-0.10653199867736801,-0.09454966753979453,-0.0528979878216854,-0.05033708016061667,0.024916386326111272,0.022965005705591564,0.011441568232306968,0.025561536125841347,0.010650910844889913,0.03187176805947478,0.04019264162343714,0.027381014819606253,0.041506692130245444,0.012743109930792695,0.028885820240917758,0.031969470124485665,0.01457074867289036,0.0315947936880215,0.035260172835664606,-0.0008255231279984146,0.019513097279666422,0.014405993043119602,-0.6449851788174676,0.018537927420411337
-0.014439464987109138,-0.03132215210333669,0.005558247824529565,-0.04501477123980108,-0.08990140636183659,0.020848348348348464,-0.038308375324296436,-0.02652376808496557,-0.01162449116622607,-0.10505280829898382,-0.012621326503100605,-0.02465007469090019,-0.10188531651335271,-0.009095113303530128,0.004032402503364534,-0.054902677669835316,0.0064516393140631074,-0.05127204899877145,-0.07551566963535535,-0.06838174137853328,-0.08276939301383897,-0.031974897002382305,-0.056640621745426285,-0.07161925392628468,-0.04196539483295252,-0.033352271028316824,-0.08128099858794685,-0.07259700767561064,-0.032121653645506336,-0.025486962516389697,0.030529844333217416,0.03036952514702008,0.015765352550930475,0.028796033151649195,0.014606266615894672,0.03828151481713864,0.04501013840531981,0.03434188089375172,0.044242426657845516,0.017942095172756738,0.035193880161918566,0.03757406909069793,0.02095367812994716,0.03551036352451052,0.04125744015819152,0.004982341352647966,0.025941550190597226,0.022988342606260044,-0.6413004334958831,0.02549591453994166
0.008178919245022823,0.002741083425878651,0.032860951901072806,-0.02788199884555109,-0.04894858670491967,0.056126988914863,0.01078605790326058,0.005333496812162882,0.03245883057104864,-0.06575885492783717,0.030554217681901526,0.006263621373918817,-0.0810973266458422,0.03400302249088811,0.05112487175095207,-0.0284352757716467,0.060936784740015536,-0.014114335560571633,-0.04556167030751135,-0.032183917498643064,-0.03759980430135988,0.002215855574814813,-0.03222995934118015,-0.037447385591648126,-0.01974513699235597,-0.009159749613619662,-0.03260726273412234,-0.03852718849061206,-0.0066068781872535105,0.002128075760846009,0.03813203097143935,0.03900988994349751,0.021318412155968428,0.03884638560760497,0.0266285177952374,0.046828924466692526,0.051351406705489495,0.042973671411242705,0.05499343231301989,0.024635250907339708,0.04389879978534867,0.04599742789677856,0.027578565990180978,0.04389378545334708,0.04776019206481035,0.019385994319870016,0.03513803260836496,0.02685247169081949,-0.6328442927199328,0.03672265093054925
-0.01936683105726321,-0.018415989611874854,0.0042086478954722895,-0.05431635617628521,-0.06240985805015064,0.03330074320201717,-0.004802163304634281,-0.02013668598350063,0.02012284443987557,-0.06790541158397197,0.010086420055328456,-0.018269254103200815,-0.10939826658012293,0.021999309690223443,0.03976290275918221,-0.051576173260803534,0.047468545060982144,-0.03638901003052779,-0.06060233304562209,-0.04853418423772145,-0.050084645418872524,-0.01466020299266584,-0.052554677942965915,-0.05594055063346674,-0.04036846259484177,-0.025398911978216105,-0.04066862398903633,-0.057032669005498804,-0.024389842502838887,-0.02151806373580133,0.033216290085691234,0.03428562391770184,0.0166732037537407,0.03483674633292921,0.02252296453470058,0.04274302165655926,0.04777061429431254,0.03928461444600025,0.049480895041244005,0.017365803168396515,0.038973090009279246,0.04107628004179725,0.024174989620214672,0.037540423065778004,0.043024735062070205,0.015782886473604457,0.03185875738434139,0.02646152263085773,-0.6367969418520029,0.03298342857610015
-0.06533238264214776,-0.06245365022055851,-0.056268588515403964,-0.09627151505460418,-0.10814276288762462,-0.011981747634894575,-0.05194230328932303,-0.06157364691101117,-0.033425415749602685,-0.14860558240925023,-0.05286375296684324,-0.06974496644295303,-0.14829161181161862,-0.031184996168195086,0.007874304253256801,-0.10204610854580738,0.005219893217715353,-0.07933407458605038,-0.09518192188135757,-0.09040873158640655,-0.0929171114509102,-0.04834055641615702,-0.08670074197276893,-0.09696256618261767,-0.07791212031849014,-0.057943337564190636,-0.07571076917041787,-0.09791172796395929,-0.06459296852617366,-0.06453681779459268,0.02174676569624117,0.02929955384591141,0.003910462885888937,0.02460734814661094,0.012811753826618647,0.02992594692272249,0.038968381857025745,0.029362413684554053,0.0419793999456858,0.010494481868998222,0.030359060901085606,0.03663045629237703,0.016345303488907913,0.03260673877217524,0.03645096453996284,0.004546430952048798,0.02562706474575034,0.018132831145584696,-0.6404286063387838,0.0216387837342777
-0.0699806348124569,-0.08068325029739816,-0.06431846853160858,-0.09894110108532773,-0.1291600191201027,-0.029370287227306897,-0.07845285373016243,-0.06561913719156393,-0.050621932326944424,-0.12393656512055297,-0.07547019254554303,-0.0762046626944456,-0.1421697035992209,-0.04910580751163822,-0.03515587561677696,-0.10421237752282056,-0.020965109364960852,-0.09730015154181992,-0.10750512970265809,-0.09988527190558372,-0.10727399488728792,-0.06456454598131155,-0.08827627388535028,-0.10784520384882441,-0.08454396504642268,-0.07080436419677408,-0.09541332308707838,-0.10873751027985845,-0.07503785863381493,-0.07730039939509101,0.025200598570654625,0.0310795172755828,0.005416874461622307,0.032887378522316206,0.016373833151606253,0.0358327238124995,0.04357699807696967,0.03274482041205543,0.04686299313133222,0.013372509674645363,0.03353261946399495,0.03865060993055364,0.021019560402785787,0.039858791544138045,0.040920364123550476,0.005837545776815947,0.02976240183584925,0.022287578803010476,-0.6412548383956131,0.021669472434349135
-0.07847448693876204,-0.09491753176815915,-0.0786364264424311,-0.10002214420605547,-0.14473861782134487,-0.0355182665370762,-0.10571575733598078,-0.07729874802622244,-0.08300023165147791,-0.16739968314771456,-0.09608030215815995,-0.08540387061154872,-0.14552808083134228,-0.08245373571904778,-0.04807701694385773,-0.10544194975377677,-0.05954791350709058,-0.11435848455905762,-0.11364414461830595,-0.11580772955019963,-0.12988612816759493,-0.08695091137489837,-0.08968734372057073,-0.12536259763418398,-0.08886927227361575,-0.08082402484056987,-0.13175571933056968,-0.12621330966136474,-0.08398137519602937,-0.08341208845775568,0.01709057428933135,0.023886196654681974,-0.004925930864001854,0.029030278760223065,0.01010787210624627,0.02737524668734152,0.04094080624452166,0.02892122733276601,0.03928603638046164,0.006369608073389345,0.02582420987620023,0.03289140827473686,0.014783073123009546,0.034823140419962664,0.03822068065600817,-0.0021406657437580703,0.022439793454535933,0.013847068925214596,-0.6498283276195194,0.011817130608906533
