as_of,B12997,B01157,B09833,B06061,B11293,B05947,B13835,B14040,B04313,B11222,B08385,B11999,B02396,B04312,B07347,B13177,B04841,B13086,B00241,B07223,B03193,B15709,B04687,B05548,B05011,B13104,B06753,B08336,B10749,B10612,B14867,B10363,B14965,B09417,B07245,B04762,B12844,B09550,B15851,B14908,B13135,B06850,B00774,B00450,B03777,B05350,B02390,B15191,B06096,B11505
2023-10-08,112.332,63.4634,226.474,37.4883,150.363,128.656,123.399,192.961,187.69,156.216,115.125,92.7044,197.389,223.402,56.2612,112.164,4628.17,218.038,94.6616,479.553,981.809,84.6304,5912.48,154.408,208.507,165.307,196.655,194.515,116.741,289.151,295.468,122.438,538.446,85.6606,84.2442,135.34,71.3538,33.3259,24.5534,67.5582,445.833,184.993,93.1309,41.9249,34.3071,87.1398,287.691,41.2869,70.2058,235.813
2023-10-07,112.332,63.4634,226.474,37.4883,150.363,128.656,123.399,192.961,187.69,156.216,115.125,92.7044,197.389,223.402,56.2612,112.164,4628.17,218.038,94.6616,479.553,981.809,84.6304,5912.48,154.408,208.507,165.307,196.655,194.515,116.741,289.151,295.468,122.438,538.446,85.6606,84.2442,135.34,71.3538,33.3259,24.5534,67.5582,445.833,184.993,93.1309,41.9249,34.3071,87.1398,287.691,41.2869,70.2058,235.813
2023-10-06,112.332,63.4634,226.474,37.4883,150.363,128.656,123.399,192.961,187.69,156.216,115.125,92.7044,197.389,223.402,56.2612,112.164,4628.17,218.038,94.6616,479.553,981.809,84.6304,5912.48,154.408,208.507,165.307,196.655,194.515,116.741,289.151,295.468,122.438,538.446,85.6606,84.2442,135.34,71.3538,33.3259,24.5534,67.5582,445.833,184.993,93.1309,41.9249,34.3071,87.1398,287.691,41.2869,70.2058,235.813
2023-10-05,111.297,62.7331,224.067,37.1547,148.432,127.357,121.405,191.696,184.38,151.668,113.675,91.7462,195.749,219.395,55.6702,111.141,4565.13,215.842,93.6914,474.781,967.873,83.5684,5863.21,152.583,205.952,163.64,194.008,192.21,115.61,286.162,296.843,123.02,538.207,85.9777,84.4594,135.957,71.6501,33.4296,24.6483,67.7677,447.898,185.624,93.5088,42.1241,34.4521,87.4385,288.545,41.4518,70.6686,236.942
2023-10-04,111.445,62.8484,224.987,37.188,148.861,127.534,121.841,191.611,184.38,152.537,113.795,92.0542,195.53,219.638,55.3156,111.408,4575.63,216.563,93.6914,475.099,969.295,83.8339,5853.36,152.772,206.029,164.12,194.339,192.431,115.61,286.611,296.843,123.001,537.326,86.0833,84.4594,135.724,71.5602,33.4258,24.6483,67.7677,447.847,185.834,93.4283,42.0677,34.4085,87.5307,288.545,41.4446,70.932,236.91
2023-10-03,111.075,62.3871,223.5,36.9211,148.003,126.531,120.741,189.419,182.418,152.74,113.13,91.3698,194.218,217.21,55.0792,110.83,4554.62,215.402,92.7212,471.759,960.478,83.1701,5833.65,151.545,205.023,162.509,191.932,190.876,115.195,284.519,294.919,122.426,537.234,85.7134,84.1366,135.037,71.0644,33.1909,24.5218,67.4883,445.327,184.782,92.9376,41.906,34.2072,87.0044,287.122,41.2567,70.2136,236.061
2023-10-02,111.888,63.3097,226.049,37.2381,150.577,127.83,123.009,191.907,185.973,156.708,115.431,92.636,196.624,221.338,56.0248,112.03,4643.93,217.912,94.2458,479.076,977.258,84.2322,5892.78,153.653,206.958,164.233,195.722,193.519,116.439,288.254,297.667,123.369,541.169,86.3476,84.7821,136.369,71.7054,33.4949,24.7433,67.9773,449.509,186.466,93.6796,42.218,34.479,87.8177,289.683,41.6141,71.4587,238.07
2023-10-01,113.441,63.9632,229.376,37.772,151.864,129.364,123.582,193.003,186.954,159.025,116.847,93.6284,199.139,222.431,56.6157,113.364,4696.46,219.575,94.2458,479.871,978.112,84.3649,5932.19,153.621,208.429,163.583,194.579,193.506,116.93,290.795,300.416,124.152,543.503,86.9288,85.3201,137.464,72.2661,33.7568,24.9015,68.3965,452.582,187.729,94.3536,42.4209,34.7506,88.4147,291.959,41.9715,72.4311,240.081
2023-09-30,113.441,63.9632,229.376,37.772,151.864,129.364,123.582,193.003,186.954,159.025,116.847,93.6284,199.139,222.431,56.6157,113.364,4696.46,219.575,94.2458,479.871,978.112,84.3649,5932.19,153.621,208.429,163.583,194.579,193.506,116.93,290.795,300.416,124.152,543.503,86.9288,85.3201,137.464,72.2661,33.7568,24.9015,68.3965,452.582,187.729,94.3536,42.4209,34.7506,88.4147,291.959,41.9715,72.4311,240.081
2023-09-29,113.441,63.9632,229.376,37.772,151.864,129.364,123.582,193.003,186.954,159.025,116.847,93.6284,199.139,222.431,56.6157,113.364,4696.46,219.575,94.2458,479.871,978.112,84.3649,5932.19,153.621,208.429,163.583,194.579,193.506,116.93,290.795,300.416,124.152,543.419,86.9288,85.3201,137.464,72.2661,33.7568,24.9015,68.3965,452.582,187.729,94.3536,42.4209,34.7506,88.4147,291.959,41.9655,72.4311,240.081
2023-09-28,114.033,64.1553,229.943,37.9722,152.293,129.895,124.018,194.184,187.567,158.707,117.068,93.9364,200.889,223.402,56.734,113.942,4727.98,220.171,94.9388,480.825,980.103,84.2985,5981.46,154.03,209.386,163.357,194.639,194.024,117.42,291.746,300.141,124.104,543.253,87.0345,85.3201,137.18,72.3177,33.7494,24.8698,68.3267,452.829,187.729,94.2627,42.4133,34.738,88.496,291.959,41.9535,72.4663,240.014
2023-09-27,113.219,63.5788,228.173,37.7219,150.148,129.364,122.597,192.455,185.483,156.94,115.892,92.944,199.467,220.974,56.3794,113.053,4670.19,218.383,94.1072,476.849,972.139,83.8339,5951.9,153.118,208.306,162.849,192.805,192.871,116.816,289.363,299.568,123.847,543.166,86.7703,85.2125,136.727,72.0662,33.6689,24.8382,68.2243,451.722,187.518,94.0464,42.3047,34.6552,88.4853,291.39,41.9474,72.4524,239.981
2023-09-26,112.924,63.3481,227.465,37.7219,148.432,129.187,121.543,191.78,184.502,154.014,114.869,92.5333,198.483,219.76,56.0248,112.92,4612.41,217.787,93.83,475.895,969.295,83.7675,5932.19,153.087,208.538,163.159,192.173,192.819,116.677,289.512,300.938,124.23,543.885,87.0874,85.5353,137.379,72.3808,33.8186,24.9331,68.5028,453.778,188.149,94.4446,42.5109,34.8079,88.7829,292.447,42.1221,72.769,240.761
2023-09-25,114.477,64.2322,231.288,38.3559,150.577,131.252,123.078,194.69,186.709,156.389,116.369,93.9706,200.889,222.309,56.734,114.609,4664.94,220.955,95.3546,483.688,982.094,84.8959,5991.32,155.351,211.468,165.844,195.361,195.695,118.368,293.98,301.487,124.374,545.402,87.1402,85.6429,137.813,72.5337,33.8532,24.9648,68.5724,454.429,188.36,94.5698,42.5073,34.8429,88.9776,293.015,42.116,72.977,241.541
2023-09-24,114.033,64.0785,230.226,38.1891,149.934,130.839,122.78,193.678,186.219,154.854,115.977,93.6284,199.904,221.824,56.8521,114.12,4649.18,220.924,95.3546,482.098,978.396,84.8296,5961.76,154.754,211.006,165.618,194.67,194.905,118.067,293.086,303.953,125.311,546.923,87.6687,86.1309,138.688,73.0099,34.118,25.123,68.9205,457.436,189.833,95.1046,42.766,35.0741,89.5617,295.143,42.4715,74.1086,243.134
2023-09-23,114.033,64.0785,230.226,38.1891,149.934,130.839,122.78,193.678,186.219,154.854,115.977,93.6284,199.904,221.824,56.8521,114.12,4649.18,220.924,95.3546,482.098,978.396,84.8296,5961.76,154.754,211.006,165.618,194.67,194.905,118.067,293.086,303.953,125.311,546.923,87.6687,86.1309,138.688,73.0099,34.118,25.123,68.9205,457.436,189.833,95.1046,42.766,35.0741,89.5617,295.143,42.4715,74.1086,243.134
2023-09-22,114.033,64.0785,230.226,38.1891,149.934,130.839,122.78,193.678,186.219,154.854,115.977,93.6284,199.904,221.824,56.8521,114.12,4649.18,220.924,95.3546,482.098,978.396,84.8296,5961.76,154.754,211.006,165.618,194.67,194.905,118.067,293.086,303.953,125.311,546.923,87.6687,86.1309,138.688,73.0099,34.118,25.123,68.9205,457.436,189.833,95.1046,42.766,35.0741,89.5617,295.143,42.4715,74.1086,243.134
2023-09-21,114.255,64.1553,230.863,38.2892,149.719,131.016,122.62,193.888,186.341,155.028,116.148,93.7995,200.123,221.824,56.9703,114.253,4664.94,220.547,95.4931,481.939,979.534,84.9623,5971.61,155.1,211.7,165.448,194.7,195.346,118.406,293.98,302.857,124.789,545.073,87.3516,85.8091,138.209,72.7408,33.9913,25.0597,68.7116,455.979,189.139,94.7976,42.6497,34.9439,89.1406,294.008,42.2724,73.4828,241.815
2023-09-20,115.956,65.347,234.969,38.9231,152.722,133.259,125.507,197.093,191.245,159.257,118.483,95.6816,203.841,227.773,58.0341,115.987,4759.5,224.312,97.0177,491.323,999.727,86.489,6060.3,157.679,214.785,168.02,198.76,198.597,120.022,299.043,305.598,125.731,548.998,88.0386,86.3454,139.318,73.2173,34.2561,25.2179,69.1989,459.444,190.397,95.4006,42.9609,35.2144,89.8486,296.421,42.6279,74.7773,243.815
2023-09-19,116.325,65.5776,236.102,39.0066,153.794,133.849,126.309,197.515,191.98,161.169,119.353,96.0923,203.841,228.623,58.3887,116.254,4817.29,225.285,97.7107,494.981,1008.54,87.02,6080.01,159.157,215.787,169.348,201.197,200.463,120.849,300.533,305.598,125.798,548.901,88.0386,86.3454,139.309,73.2884,34.252,25.2179,69.1293,459.392,190.397,95.4576,42.9046,35.2104,89.7353,296.279,42.6219,74.5507,243.782
2023-09-18,116.547,65.7698,236.598,39.09,154.009,134.203,126.836,197.726,192.839,161.98,119.796,96.1607,203.951,229.594,58.5069,116.565,4833.04,225.692,97.4335,496.254,1011.1,87.1527,6089.86,159.503,216.481,169.743,201.618,200.904,121.112,300.979,306.42,126.101,549.617,88.1971,86.56,139.741,73.5222,34.3632,25.2812,69.2686,460.746,191.026,95.7195,43.0058,35.324,89.9301,297.272,42.6156,74.8674,244.155
2023-09-17,116.473,65.9236,237.164,39.0399,154.223,134.144,127.157,197.473,192.716,162.125,120.393,96.0239,203.623,229.473,58.7433,116.565,4843.55,225.849,96.8791,495.618,1013.38,86.9536,6080.01,159.409,216.404,169.461,201.227,200.748,121.074,300.83,306.146,125.923,549.525,88.0914,86.4527,139.726,73.431,34.3209,25.2495,69.1989,460.238,190.817,95.6399,43.002,35.2805,89.8984,296.988,42.6094,74.5872,244.122
